Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      2.69     0.00                             get_mounted_campaign[abi:cxx11]()
  0.00      2.69     0.00                             importCampaignPicker()
  0.00      2.69     0.00                             load_and_set_palette(char const*, unsigned char*)
  0.00      2.69     0.00                             query_input_continue()
  0.00      2.69     0.00                             sendFakeKeyDownEvent(int)
  0.00      2.69     0.00                             clear_key_press_event()
  0.00      2.69     0.00                             disablePlayerJoystick(int)
  0.00      2.69     0.00                             get_class_description[abi:cxx11](unsigned char)
  0.00      2.69     0.00                             load_scenario_version(SDL_RWops*, LevelData*, short)
  0.00      2.69     0.00                             query_key_press_event()
  0.00      2.69     0.00                             assignKeyFromWaitEvent(int, int)
  0.00      2.69     0.00                             clear_text_input_event()
  0.00      2.69     0.00                             list_paths_recursively(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             mount_campaign_package(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             query_text_input_event()
  0.00      2.69     0.00                             walkerIsAutoAttackable(walker*)
  0.00      2.69     0.00                             draw_highlight_interior(button const&)
  0.00      2.69     0.00                             prompt_for_string_block(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      2.69     0.00                             toggle_rendering_engine()
  0.00      2.69     0.00                             update_overscan_setting()
  0.00      2.69     0.00                             activate_sub_menu_button(int, int, std::__cxx11::list<std::pair<SimpleButton*, std::set<SimpleButton*, std::less<SimpleButton*>, std::allocator<SimpleButton*> > >, std::allocator<std::pair<SimpleButton*, std::set<SimpleButton*, std::less<SimpleButton*>, std::allocator<SimpleButton*> > > > >&, SimpleButton&, bool)
  0.00      2.69     0.00                             are_objects_outside_area(LevelData*, int, int, int, int)
  0.00      2.69     0.00                             get_random_matching_tile(int)
  0.00      2.69     0.00                             get_training_cost_rating(unsigned char, int)
  0.00      2.69     0.00                             remount_campaign_package()
  0.00      2.69     0.00                             restore_default_settings()
  0.00      2.69     0.00                             unmount_campaign_package(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             cleanup_unpacked_campaign()
  0.00      2.69     0.00                             draw_toggle_effect_button(button&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             get_connected_level_exits(int, std::__cxx11::list<int, std::allocator<int> > const&, std::set<int, std::less<int>, std::allocator<int> >&, std::__cxx11::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      2.69     0.00                             handle_basic_editor_event(SDL_Event const&)
  0.00      2.69     0.00                             restore_default_campaigns()
  0.00      2.69     0.00                             get_scen_num_from_filename(char const*)
  0.00      2.69     0.00                             activate_menu_toggle_choice(int, int, LevelEditorData&, SimpleButton&, bool)
  0.00      2.69     0.00                             get_and_reset_scroll_amount()
  0.00      2.69     0.00                             create_new_campaign_descriptor(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             add_contained_objects_to_selection(LevelData*, Rectf const&, std::vector<SelectionInfo, std::allocator<SelectionInfo> >&)
  0.00      2.69     0.00                             Log(char const*, ...)
  0.00      2.69     0.00                             MAX(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             __static_initialization_and_destruction_0(int, int)
  0.00      2.69     0.00                             hits(short, short, short, short, short, short, short, short)
